code,libelle,type_officiel,region,adresse
060350,CLINIQUE ROCHER D'HOREB,CHU,GRAND LOMÉ,AUT N°119/2013/MS/CAB/DGS/DES BP 80288
060351,CENTRE DENTAIRE INTERNATIONAL DE LOME,CHU,GRAND LOMÉ,"Lomé, Quartier Agbalépédogan non loin du carrefour GTA et derrière la Direction des Transports Routiers et Ferroviaires"
060352,VAL OPTIQUE,CENTRE DE LUNETTERIE,GRAND LOMÉ,"Lomé, Adidogomé, Madiba, immeuble FIG M. KOUNTANDJI Valère ODJEKE, Directeur de la Lunetterie"
060353,CABINET MEDICAL POLYVALENT,CHU,GRAND LOMÉ,"RUE AFLAO GAKLI N° 83, AUT N°0049/2013/MS/CAB/DGS/DES, QUARTIER DJIDJOLE"
060354,CABINET D'OPTIQUE IDEAL VISION,CENTRE DE LUNETTERIE,GRAND LOMÉ,"Lomé, Adidogomé"
060355,CMS SAINTE ANNE,HOPITAL DE DISTRICT,GRAND LOMÉ,AUT N°012/2007/MS/CAB/DGS DU 16/01/2007 QTIER LOM NAVA TOSSENOU AWOUSSI
060356,ALLIANCE OPTIQUE,CENTRE DE LUNETTERIE,GRAND LOMÉ,KEGLO KOSSIVI AMOUTIEVE 74 RUE MAMAM N DANIDA
060357,ASSOCIATION GRAIN D'ESPOIR,USP type II,GRAND LOMÉ,KOBLI YASSIM AGE BP 30538 LOME
060358,PHARMACIE BIEN ETRE,PHARMACIE,GRAND LOMÉ,"AUT N°097/96/MSP, ABALO ABOTCHI NADIEDJA, boulevard du HAHO Hedzrenawoe"
060359,INFIRMERIE DES ANCIENS COMBATTANTS (ASSACAMITO),CHU,GRAND LOMÉ,"Quartier Administratif non loin du CASEF COMMANDANT GADO KOKOU, Responsable de l'infirmerie"
060360,SERVICE NATIONAL DE SANTE DES JEUNES ET ADOLESCENTS,USP type II,GRAND LOMÉ,DOCTEUR KPOTSRA KOFFI
060361,PHARMACIE MAINA,PHARMACIE,GRAND LOMÉ,"AGBA IKPINDI MAIMOUNA, AGOE ASSIEYE"
060362,POLYCLINIQUE LA PROVIDENCE DU,CHU,GRAND LOMÉ,"Agoè-Nyivé au bord de la National N° 1 à côté de la Station Total Dr GOLFE NEGLO Kossi Michel, Médecin Gynéco-Obstétricien, Titulaire et Responsable de la Polyclinique"
060363,CENTRE OPHTALMOLOGIQUE NETTE VISION,HOPITAL DE DISTRICT,GRAND LOMÉ,AGOE-SOGBOSSITO
060364,CENTRE MEDICO SOCIAL DE LA CNSS,USP type II,GRAND LOMÉ,CNSS
060365,CMS CENTRE DE SURVEILLANCE DE L'ADMINISTRATION PENITENTIARE,USP type I,GRAND LOMÉ,DCSSA
060366,CMS FAMME CONFIANCE,CHU,GRAND LOMÉ,"SODJI K. DOMETO, DJIDJOLE BP 12321"
060367,PHARMACIE ACTUELLE,PHARMACIE,GRAND LOMÉ,"Lomé, route de Ségbé, Adidogomé - Sagbado Dr AGBETRA L. Assiassimba, Docteur en pharmacie, Titulaire et Responsable de la pharmacie"
